,llama-2-7b,llama-2-13b,llama-2-70b,flan-t5-3b,flan-t5-11b,falcon-7b,falcon-40b,vicuna-7b,vicuna-13b,vicuna-33b,mistral,mixtral,llms4ol,claude-3,gpt-3.5,gpt-4
google,0.383,0.513,0.789,0.877,0.9,0.273,0.473,0.572,0.74,0.308,0.707,0.867,0.924,0.918,0.891,0.93
amazon,0.398,0.528,0.7,0.753,0.797,0.261,0.424,0.556,0.639,0.326,0.665,0.762,0.852,0.824,0.775,0.845
icd,0.363,0.658,0.765,0.826,0.867,0.252,0.688,0.542,0.818,0.398,0.767,0.915,0.919,0.962,0.884,0.964
ccs,0.265,0.429,0.536,0.656,0.694,0.249,0.379,0.394,0.519,0.263,0.568,0.698,0.798,0.743,0.702,0.768
ncbi,0.264,0.349,0.358,0.509,0.541,0.271,0.104,0.398,0.344,0.282,0.522,0.616,0.65,0.549,0.495,0.701
glottolog,0.24,0.277,0.34,0.495,0.574,0.254,0.029,0.414,0.187,0.281,0.417,0.613,0.657,0.483,0.5,0.687
schema,0.29,0.432,0.604,0.795,0.84,0.244,0.296,0.421,0.554,0.283,0.688,0.782,0.915,0.887,0.826,0.911
oae,0.254,0.383,0.618,0.733,0.801,0.242,0.143,0.462,0.647,0.285,0.761,0.776,0.941,0.884,0.817,0.901
ebay,0.465,0.644,0.894,0.891,0.901,0.261,0.535,0.647,0.845,0.323,0.828,0.921,0.947,0.937,0.941,0.954
geonames,0.305,0.309,0.329,0.447,0.622,0.268,0.252,0.325,0.289,0.28,0.407,0.553,0.679,0.646,0.545,0.687
