,llama-2-7b,llama-2-13b,llama-2-70b,flan-t5-3b,flan-t5-11b,falcon-7b,falcon-40b,vicuna-7b,vicuna-13b,vicuna-33b,mistral,mixtral,llms4ol,claude-3,gpt-3.5,gpt-4
google,0.092 ,0.822 ,0.836 ,0.835 ,0.864 ,0.556 ,0.348 ,0.728 ,0.601 ,0.682 ,0.532 ,0.738 ,0.860 ,0.781 ,0.814 ,0.857 
amazon,0.052 ,0.766 ,0.806 ,0.781 ,0.793 ,0.547 ,0.253 ,0.725 ,0.625 ,0.713 ,0.474 ,0.739 ,0.849 ,0.668 ,0.724 ,0.806 
icd,0.114 ,0.811 ,0.826 ,0.767 ,0.842 ,0.636 ,0.454 ,0.757 ,0.666 ,0.772 ,0.478 ,0.840 ,0.891 ,0.871 ,0.838 ,0.917 
ccs,0.032 ,0.658 ,0.687 ,0.672 ,0.698 ,0.550 ,0.043 ,0.599 ,0.527 ,0.591 ,0.433 ,0.618 ,0.753 ,0.624 ,0.617 ,0.708 
ncbi,0.000 ,0.457 ,0.535 ,0.593 ,0.633 ,0.587 ,0.013 ,0.609 ,0.350 ,0.522 ,0.176 ,0.482 ,0.725 ,0.449 ,0.495 ,0.653 
glottolog,0.001 ,0.192 ,0.305 ,0.584 ,0.589 ,0.503 ,0.021 ,0.637 ,0.301 ,0.496 ,0.146 ,0.394 ,0.711 ,0.244 ,0.510 ,0.626 
schema,0.000 ,0.712 ,0.616 ,0.743 ,0.786 ,0.501 ,0.013 ,0.699 ,0.581 ,0.728 ,0.214 ,0.707 ,0.912 ,0.315 ,0.591 ,0.734 
oae,0.004 ,0.757 ,0.747 ,0.838 ,0.856 ,0.497 ,0.007 ,0.813 ,0.424 ,0.820 ,0.405 ,0.789 ,0.906 ,0.766 ,0.767 ,0.822 
ebay,0.201 ,0.898 ,0.899 ,0.899 ,0.919 ,0.597 ,0.434 ,0.827 ,0.690 ,0.759 ,0.583 ,0.805 ,0.904 ,0.901 ,0.891 ,0.921 
geonames,0.006 ,0.543 ,0.553 ,0.539 ,0.520 ,0.537 ,0.108 ,0.705 ,0.492 ,0.728 ,0.240 ,0.604 ,0.677 ,0.679 ,0.598 ,0.652 
