,llama-2-7b,llama-2-13b,llama-2-70b,llama-3-8b,llama-3-70b,flan-t5-3b,flan-t5-11b,falcon-7b,falcon-40b,vicuna-7b,vicuna-13b,vicuna-33b,mistral,mixtral,llms4ol,claude-3,gpt-3.5,gpt-4
google,0.903,0.003,0,0.000 ,0.011 ,0,0,0,0.591,0,0.022,0,0.23,0,0,0.09,0.042,0.011
amazon,0.946,0.002,0,0.000 ,0.050 ,0,0,0,0.711,0,0.037,0,0.361,0,0,0.231,0.138,0.051
icd,0.871,0.027,0.023,0.000 ,0.003 ,0,0,0,0.489,0,0.077,0.001,0.41,0.018,0,0.041,0.063,0.001
ccs,0.963,0.011,0.003,0.000 ,0.048 ,0,0,0,0.95,0,0.023,0,0.308,0.111,0,0.111,0.15,0.017
ncbi,1,0.252,0.13,0.011 ,0.231 ,0,0,0,0.986,0.002,0.46,0.187,0.772,0.313,0,0.456,0.301,0.132
glottolog,0.999,0.681,0.467,0.078 ,0.474 ,0,0,0,0.975,0,0.557,0.277,0.818,0.45,0,0.714,0.298,0.154
schema,1,0.01,0,0.000 ,0.531 ,0,0,0,0.987,0,0.093,0.02,0.75,0.017,0,0.663,0.324,0.193
oae,0.996,0.078,0.017,0.000 ,0.088 ,0,0,0,0.991,0,0.45,0.002,0.528,0.052,0,0.161,0.144,0.035
ebay,0.789,0,0,0.000 ,0.000 ,0,0,0,0.515,0,0.007,0,0.262,0,0,0.033,0.021,0.003
geonames,0.994,0.006,0,0.000 ,0.073 ,0,0,0,0.858,0,0.114,0,0.691,0.041,0,0.138,0.057,0.002
