,llama-2-7b,llama-2-13b,llama-2-70b,flan-t5-3b,flan-t5-11b,falcon-7b,falcon-40b,vicuna-7b,vicuna-13b,vicuna-33b,mistral,mixtral,llms4ol,claude-3,gpt-3.5,gpt-4
google,0.393,0.511,0.778,0.876,0.887,0.291,0.466,0.53,0.702,0.339,0.727,0.871,0.927,0.919,0.885,0.931
amazon,0.39,0.52,0.689,0.751,0.793,0.283,0.415,0.529,0.618,0.313,0.664,0.762,0.851,0.815,0.744,0.84
icd,0.449,0.636,0.756,0.833,0.84,0.231,0.685,0.524,0.814,0.412,0.769,0.918,0.921,0.955,0.899,0.964
ccs,0.279,0.436,0.54,0.651,0.676,0.236,0.363,0.393,0.501,0.274,0.569,0.709,0.796,0.726,0.66,0.765
ncbi,0.289,0.359,0.339,0.496,0.546,0.257,0.111,0.423,0.341,0.25,0.497,0.626,0.65,0.586,0.475,0.69
glottolog,0.321,0.285,0.326,0.513,0.582,0.251,0.029,0.381,0.187,0.258,0.435,0.609,0.656,0.501,0.484,0.684
schema,0.336,0.402,0.55,0.796,0.831,0.24,0.31,0.455,0.464,0.276,0.66,0.784,0.915,0.89,0.802,0.911
oae,0.323,0.384,0.605,0.731,0.791,0.254,0.131,0.42,0.643,0.31,0.772,0.778,0.942,0.876,0.775,0.896
ebay,0.472,0.63,0.868,0.891,0.904,0.257,0.521,0.64,0.815,0.343,0.842,0.921,0.954,0.941,0.921,0.95
geonames,0.305,0.317,0.317,0.423,0.589,0.248,0.26,0.321,0.24,0.28,0.39,0.533,0.679,0.63,0.435,0.691
