,llama-2-7b,llama-2-13b,llama-2-70b,llama-3-8b,llama-3-70b,flan-t5-3b,flan-t5-11b,falcon-7b,falcon-40b,vicuna-7b,vicuna-13b,vicuna-33b,mistral,mixtral,llms4ol,claude-3,gpt-3.5,gpt-4
google,0.003,0.054,0.001,0.013 ,0.001 ,0,0,0,0.369,0,0.104,0,0.005,0.007,0,0.004,0.031,0
amazon,0.005,0.04,0.004,0.039 ,0.036 ,0,0,0,0.426,0.003,0.124,0,0.021,0.043,0,0.056,0.094,0.032
icd,0.005,0.025,0.004,0.003 ,0.000 ,0,0,0.003,0.092,0.011,0.048,0.001,0.01,0.01,0,0.003,0.029,0
ccs,0.005,0.008,0.001,0.018 ,0.006 ,0,0,0,0.268,0.001,0.092,0.001,0.003,0.003,0,0.032,0.086,0.001
ncbi,0.003,0.002,0.001,0.004 ,0.005 ,0,0,0,0.818,0.012,0.387,0,0.046,0.074,0,0.267,0.258,0.008
glottolog,0.204,0.107,0.031,0.132 ,0.021 ,0,0,0,0.968,0.078,0.687,0.013,0.164,0.093,0,0.391,0.29,0.004
schema,0.008,0.109,0,0.029 ,0.025 ,0,0,0,0.601,0,0.233,0,0.01,0.039,0,0.022,0.085,0.004
oae,0.049,0.104,0.002,0.001 ,0.003 ,0,0,0,0.708,0.216,0.25,0.012,0.005,0.006,0,0.036,0.061,0.004
ebay,0,0.017,0,0.000 ,0.000 ,0,0,0,0.215,0,0.026,0,0,0,0,0,0.017,0
geonames,0.008,0.024,0.004,0.000 ,0.000 ,0,0,0,0.354,0.008,0.159,0,0,0.02,0,0.012,0.081,0
